name,team,image,battingStyle,bowlingStyle,playingRole,description
Wanindu Hasaranga de Silva,Sri Lanka,,Right hand Bat,Legbreak,Allrounder,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career."
Sadeera Samarawickrama,Sri Lanka,,Right hand Bat,,Wicketkeeper Batter,
Alpesh Ramjani,Uganda,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Brian Masaba,Uganda,,Right hand Bat,Right arm Medium,Bowler,
Juma Miyagi,Uganda,,Right hand Bat,Right arm Medium fast,Bowler,
Cosmos Kyewuta,Uganda,,Right hand Bat,Right arm Medium,Bowler,
Frank Nsubuga,Uganda,,Right hand Bat,Right arm Offbreak,Allrounder,
Riazat Ali Shah,Uganda,,Right hand Bat,Right arm Medium,Batting Allrounder,
Kenneth Waiswa,Uganda,,Right hand Bat,Right arm Medium,Allrounder,
Simon Ssesazi,Uganda,,Left hand Bat,Right arm Slow,Wicketkeeper Batter,
Robinson Obuya,Uganda,,Right hand Bat,,Batter,
Fred Achelam,Uganda,,Right hand Bat,,Wicketkeeper Batter,
Ronak Patel,Uganda,,Right hand Bat,Slow Left arm Orthodox,Batter,
Dinesh Nakrani,Uganda,,Left hand Bat,Left arm Medium,Allrounder,
Henry Ssenyondo,Uganda,,Right hand Bat,Slow Left arm Orthodox,Bowler,
Roger Mukasa,Uganda,,Right hand Bat,Right arm Offbreak,WicketKeeper,
Bilal Hassan,Uganda,,Right hand Bat,Right arm Medium Fast,Bowler,
Andries Gous,USA,,Right hand Bat,,Wicketkeeper Batter,
Harmeet Singh,USA,,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,
Saurabh Netravalkar,USA,"<img width=""150"" height=""150"" alt=""Saurabh Netravalkar"" src=""https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/383200/383213.png"" style=""width: 150px; height: 150px;"">",Right hand Bat,Left arm Fast medium,Bowler,
Aaron Jones,USA,,Right hand Bat,Legbreak Googly,Top order Batter,
Ali Khan,USA,,Right hand Bat,Right arm Fast medium,Bowler,
Nitish Kumar,USA,,Right hand Bat,Right arm Offbreak,Top order Batter,
Nosthush Kenjige,USA,,Right hand Bat,Slow Left arm Orthodox,Bowler,
Monank Patel,USA,,Right hand Bat,,Wicketkeeper Batter,
Corey Anderson,USA,,Left hand Bat,Left arm Medium Fast,Batting Allrounder,
Steven Taylor,USA,,Left hand Bat,Right arm Offbreak,Opening Batter,
Shadley van Schalkwyk,USA,,Left hand Bat,Right arm Medium,Allrounder,
Jasdeep Singh,USA,,Right hand Bat,Right arm Medium,Bowler,
Milind Kumar,USA,,Right hand Bat,Right arm Offbreak,Allrounder,
Shayan Jahangir,USA,,Right hand Bat,Right arm Medium fast,Batter,
Kyle Mayers,West Indies,,Left hand Bat,Right arm Medium,Batting Allrounder,"A left-handed batsman who bowls useful medium pace, Kyle Mayers travelled to England as a reserve for West Indies in 2020 before making his T20I debut in New Zealand later in the year. "
Andre Russell,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316615.png",Right hand Bat,Right arm Fast,Allrounder,
Roston Chase,West Indies,,Right hand Bat,Right arm Offbreak,Allrounder,
Nicholas Pooran,West Indies,,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful."
Sherfane Rutherford,West Indies,,Left hand Bat,Right arm Fast medium,Middle order Batter,
Rovman Powell,West Indies,,Right hand Bat,Right arm Medium fast,Middle order Batter,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Gudakesh Motie,West Indies,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Akeal Hosein,West Indies,,Left hand Bat,Slow Left arm Orthodox,Bowler,"Akeal Hosein was handed a chance to impress for West Indies in Bangladesh in early 2021 after several senior players opted out of the tour, but his opportunity had been a long time coming. "
Alzarri Joseph,West Indies,,Right hand Bat,Right arm Fast,Bowler,"Tall fast bowler Alzarri Joseph started out as a legspinner in his backyard in Antigua before his height marked him out for a different style of bowling. In his teens he gained a reputation as one of the fastest bowlers on the school circuit, which carried over into the 2016 Under-19 World Cup, where he bowled the competition's fastest delivery, a 147kph zinger that broke Zimbabwe batter Brendan Sly's stumps. Joseph would finish as West Indies' highest wicket-taker of the tournament, with 13 wickets from six games at an economy of 3.31."
Shai Hope,West Indies,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320122.png",Right hand Bat,,WicketKeeper Batter,
Obed McCoy,West Indies,,Left hand Bat,Left arm Fast medium,Bowler,
Johnson Charles,West Indies,,Right hand Bat,,Wicketkeeper Batter,"A muscular opener with a penchant for swatting the ball square either side of the wicket, much like Dwayne Smith, Johnson Charles was part of West Indies' T20 World Cup winning teams in 2012 and 2016. While Smith's second skill is seam bowling, Charles' is wicketkeeping. With Denesh Ramdin representing West Indies in all three formats, and Andre Fletcher also in the limited-overs mix, West Indies have used Charles' second skill sparingly."
Brandon King,West Indies,,Right hand Bat,,Top order Batter,
Romario Shepherd,West Indies,,Right hand Bat,Right arm Fast medium,Bowling Allrounder,
Mehran Khan,Oman,,Right hand Bat,Right arm Medium fast,Batter,
Aqib Ilyas,Oman,,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,
Bilal Khan,Oman,,Left hand Bat,Left arm Medium Fast,Bowler,
Ayaan Khan,Oman,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Pratik Athavale,Oman,,Right hand Bat,Right arm Offbreak,WicketKeeper Batter,
Khalid kail,Oman,,Right hand Bat,,Middle order Batter,
Shakeel Ahmed,Oman,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Kaleemullah,Oman,,Right hand Bat,Right arm Medium,Bowler,
Zeeshan Maqsood,Oman,,Left hand Bat,Slow Left arm Orthodox,Opening Batter,
Naseem Khushi,Oman,,Right hand Bat,,Wicketkeeper,
Shoaib Khan,Oman,,Right hand Bat,Right arm Medium,Batter,
Mohammad Nadeem,Oman,,Right hand Bat,Right arm Medium Fast,Allrounder,
Fayyaz Butt,Oman,,Left hand Bat,Right arm Medium Fast,Bowler,
Rafiullah,Oman,,Right hand Bat,Right arm Medium,Bowler,
Kashyap Prajapati,Canada,,Right hand Bat,Right arm Offbreak,Top order Batter,
Dilon Heyliger,Canada,,Right hand Bat,Right arm Medium,Bowler,
Aaron Johnson,Canada,,Right hand Bat,Right arm Offbreak,Batter,
Nicholas Kirton,Canada,,Left hand Bat,,Batting Allrounder,
Jeremy Gordon,Canada,,Right hand Bat,Right arm Fast medium,Bowler,
Shreyas Movva,Canada,,Right hand Bat,,Wicketkeeper Batter,
Navneet Dhaliwal,Canada,,Right hand Bat,Right arm Medium fast,Middle order Batter,
Kaleem Sana,Canada,,Right hand Bat,Left arm Medium fast,Bowler,
Saad Bin Zafar,Canada,,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Dilpreet Bajwa,Canada,,Right hand Bat,Right arm Offbreak,Allrounder,
Junaid Siddiqui,Canada,,Right hand Bat,Legbreak,Allrounder,
Pargat Singh,Canada,,Right hand Bat,Right arm Offbreak,Allrounder,
Ravinderpal Singh,Canada,,Right hand Bat,Right arm Offbreak,Batter,
Nikhil Dutta,Canada,,Right hand Bat,Right arm Offbreak,Bowler,
Alei Nao,P.N.G,,Right hand Bat,Right arm Medium ,Bowler,
Assad Vala,P.N.G,,Left hand Bat,Right arm Offbreak,Batter,
Kiplin Doriga,P.N.G,,Right hand Bat,,Wicketkeeper Batter,
Sese Bau,P.N.G,,Left hand Bat,Right arm Offbreak,Middle order Batter,
Norman Vanua,P.N.G,,Right hand Bat,Right arm Medium ,Bowler,
John Kariko,P.N.G,,Left hand Bat,Slow Left arm Orthodox,Bowler,
Chad Soper,P.N.G,,Right hand Bat,Right arm Medium fast,Bowler,
Kabua Morea,P.N.G,,Right hand Bat,Left arm Medium ,Bowler,
Charles Amini,P.N.G,,Left hand Bat,Legbreak,Allrounder,
Hiri Hiri,P.N.G,,Right hand Bat,Right arm Offbreak,Middle order Batter,
Semo Kamea,P.N.G,,Left hand Bat,Left arm Fast,Bowler,
Lega Siaka,P.N.G,,Right hand Bat,Right arm Fast medium,Opening Batter,
Tony Ura,P.N.G,,Right hand Bat,,Opening Batter,
